category,name,sku,unit_label,case_label,price_single,price_case,cost_price_single,cost_price_case,shelf_life_months,can_split_sale,minimum_order_qty,is_active,stock_quantity,units_per_case,image
Tapioca Boba,B010103,B010103,2.2 LBS /BAG,20 BAGS/CASE,5.0,75.0,0,0,12,1,1,1,0,20.0,products/B010103.png
Tapioca Boba,B010203,B010203,6.6 LBS /BAG,20 BAGS/CASE,10.0,50.0,0,0,10,1,1,1,0,20.0,products/B010203.png
Tapioca Boba,B010303,B010303,2.2 LBS /BAG,20 BAGS/CASE,5.0,75.0,0,0,12,1,1,1,0,20.0,products/B010303.png
Popping Boba 爆爆珠,B020103,B020103,2.2 LBS /BAG,12 BAGS/CASE,6.0,55.0,0,0,12,1,1,1,0,12.0,products/B020103.png
Popping Boba 爆爆珠,B020203,B020203,2.2 LBS /BAG,12 BAGS/CASE,6.0,55.0,0,0,12,1,1,1,0,12.0,products/B020203.png
Popping Boba 爆爆珠,Mango Popping Boba 芒果爆爆珠,B030103,2.2 LBS /BAG,12 BAGS/CASE,20.0,65.0,0,0,24,1,1,1,0,12.0,products/B030103.png
Popping Boba 爆爆珠,B030203,B030203,7.48 LBS /BOTTLE,4 BOTTLES/CASE,20.0,65.0,0,0,24,1,1,1,0,4.0,products/B030203.png
Popping Boba,B030303,B030303,7.48 LBS /BOTTLE,4 BOTTLES/CASE,20.0,65.0,0,0,24,1,1,1,0,4.0,products/B030303.png
Popping Boba,B030403,B030403,7.48 LBS /BOTTLE,6 CANS/CASE,20.0,65.0,0,0,24,1,1,1,0,6.0,products/B030403.png
Popping Boba,Peach Popping Boba 水蜜桃爆爆珠,B030503,7.48 LBS /BOTTLE,6 CANS/CASE,20.0,65.0,0,0,24,1,1,1,0,6.0,products/B030503.png
Popping Boba,B030603,B030603,7.48 LBS /BOTTLE,4 BOTTLES/CASE,20.0,65.0,0,0,24,1,1,1,0,4.0,products/B030603.png
Popping Boba,B030702,B030702,7.48 LBS /BOTTLE,6 CANS/CASE,20.0,65.0,0,0,24,1,1,1,0,6.0,products/B030702.png
Popping Boba,Boba 奇异果爆爆珠,B030802,7.48 LBS /BOTTLE,6 CANS/CASE,20.0,65.0,0,0,24,1,1,1,0,6.0,products/B030802.png
Jelly 椰果,B040103,B040103,8.47 LBS /BOTTLE,4 BOTTLES/CASE,20.0,65.0,0,0,24,1,1,1,0,4.0,products/B040103.png
